"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@costa_rui A segurança pública necessita d mais policiais nas ruas investigando p que criminosos sejam presos 23 delegados aguardam nomeação",FALSE,0,"costa_rui",2017-02-09 01:35:34,FALSE,NA,"829503978606043138","68466700","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osvaldodafeira",0,FALSE,FALSE,NA,NA
"RT @Bahia247: Governador @costa_rui anuncia R$ 100 milhões para educação na Bahia | Brasil 24/7 https://t.co/pbUoqxaQwl Assista https://t.c…",FALSE,0,NA,2017-02-09 01:12:27,FALSE,NA,"829498161722974208",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","sisdipe",9,TRUE,FALSE,NA,NA
"RT @Bahia247: Governador @costa_rui lança projeto para educação em parceria com Google | Brasil 24/7 https://t.co/VL1uxhaC34 https://t.co/E…",FALSE,0,NA,2017-02-09 01:12:21,FALSE,NA,"829498134816555016",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","sisdipe",1,TRUE,FALSE,NA,NA
"RT @costa_rui: Mais estradas recuperadas. https://t.co/SJrqnQUJgJ",FALSE,0,NA,2017-02-09 01:11:28,FALSE,NA,"829497911515955200",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","sisdipe",3,TRUE,FALSE,NA,NA
"RT @costa_rui: Minha quarta-feira começa no Centro Educacional Carneiro Ribeiro, a conhecida Escola Parque. Participo da aula inaugural de…",FALSE,0,NA,2017-02-09 01:02:42,FALSE,NA,"829495708612968450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lutareresistir",7,TRUE,FALSE,NA,NA
"RT @Bahia247: Governador @costa_rui anuncia R$ 100 milhões para educação na Bahia | Brasil 24/7 https://t.co/pbUoqxaQwl Assista https://t.c…",FALSE,0,NA,2017-02-09 00:57:14,FALSE,NA,"829494332411543554",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lutareresistir",9,TRUE,FALSE,NA,NA
"RT @costa_rui: Todas as escolas da rede estadual terão coordenação pedagógica! Este é o nosso compromisso",FALSE,0,NA,2017-02-09 00:57:10,FALSE,NA,"829494313449041920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lutareresistir",12,TRUE,FALSE,NA,NA
"RT @costa_rui: Educação precisa de infraestrutura melhor, material didático, tecnologia, mas, acima de tudo, precisa do envolvimento e apoi…",FALSE,0,NA,2017-02-09 00:57:01,FALSE,NA,"829494278565027840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lutareresistir",10,TRUE,FALSE,NA,NA
"Governador @costa_rui lança projeto para educação em parceria com Google | Brasil 24/7 https://t.co/VL1uxhaC34 https://t.co/EQJzyxBUDq",FALSE,0,NA,2017-02-09 00:33:45,FALSE,NA,"829488423270547457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bahia247",1,FALSE,FALSE,NA,NA
"RT @costa_rui: Comecem a correria agora... nada de deixar pra estudar no 2° semestre. Vamos lá, galera! https://t.co/qsSvXtSMJu",FALSE,0,NA,2017-02-09 00:28:27,FALSE,NA,"829487085975388161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAURICIOO13",5,TRUE,FALSE,NA,NA
